embedding_number_1,embedding_number_2,embedding_number_3,embedding_number_4,embedding_number_5,embedding_number_6,embedding_number_7,embedding_number_8,embedding_number_9,embedding_number_10,embedding_number_11,embedding_number_12,embedding_number_13,embedding_number_14,embedding_number_15,embedding_number_16,embedding_number_17,embedding_number_18,embedding_number_19,embedding_number_20,embedding_number_21,embedding_number_22,embedding_number_23,embedding_number_24,embedding_number_25,embedding_number_26,embedding_number_27,embedding_number_28,embedding_number_29,embedding_number_30,embedding_number_31,embedding_number_32,embedding_number_33,embedding_number_34,embedding_number_35,embedding_number_36,embedding_number_37,embedding_number_38,embedding_number_39,embedding_number_40,embedding_number_41,embedding_number_42,embedding_number_43,embedding_number_44,embedding_number_45,embedding_number_46,embedding_number_47,embedding_number_48,embedding_number_49,embedding_number_50,embedding_number_51,embedding_number_52,embedding_number_53,embedding_number_54,embedding_number_55,embedding_number_56,embedding_number_57,embedding_number_58,embedding_number_59,embedding_number_60,embedding_number_61,embedding_number_62,embedding_number_63,embedding_number_64,name,job,age,nationality
0.148896873,-0.0462803319,0.7508604527,0.1164787486,1.1086896658,0.0382498167,1.2151472569,0.8824023008,0.1102645844,0.6025352478,0.0847471431,1.1537083387,1.125351429,0.9693927169,0.4859048724,0.8376408815,-0.0189577043,0.8330150247,0.0029405169,0.1621908098,0.8045600653,0.6119561195,0.7961388826,0.7708330154,0.8533004522,0.2848407626,0.1147642434,0.2500633001,0.1981320381,0.9549353719,0.6860325933,-0.0581150539,-0.0641774386,0.5278820992,0.1481340528,0.5005192161,-0.1989938021,0.8027672768,0.1263608783,0.8858516216,-0.0108174309,0.7155415416,0.7936404347,0.2468648255,0.0943789631,0.6893694997,0.7552238703,0.9301108122,-0.1922846735,0.7912701368,0.1898024976,0.8709558249,0.4149672091,0.8370049,1.0555317402,-0.10314475,0.8554517031,0.0202217326,1.2836033106,1.0814479589,0.0081726238,0.9604366422,0.917229116,0.3296096325,Michael Smith,Chef,42,Australian
0.6598845124,0.8846473694,0.2598716319,0.1980540156,-0.1742427796,0.0331860296,1.1507226229,1.0966147184,0.928609252,0.7364776134,0.0043717697,0.6661801338,1.0328674316,0.5497935414,0.0321252681,1.0526034832,-0.034542188,0.0507145375,0.8174540401,0.8409389853,0.8709346652,0.764993012,0.7683978081,0.1780678183,1.2121001482,-0.0962813944,0.8866472244,0.5719941854,0.9471724629,0.7715497613,1.0053236485,0.2696259022,0.9754269719,0.4249203801,0.810978353,0.2955915332,-0.0401738957,0.0747375414,0.1531320512,-0.0282302052,0.1188286766,0.9500082135,0.9473978877,0.5740616322,-0.0894592553,0.470887512,0.7551465631,0.7904973626,0.0401758105,0.9798939824,0.9174966812,0.0308994204,0.092320092,0.7120454311,1.0939528942,0.0312150903,0.233444497,0.0186112076,1.011121273,1.0944805145,0.2609443069,0.1301578879,-0.0600552037,1.0042684078,Daniel Williams,Software Engineer,58,American
0.648573041,0.9924213886,0.9568087459,-0.0760443285,0.1825373918,0.0383895747,0.7376227379,1.005264163,1.3535443544,1.2056328058,-0.061504893,1.0826488733,0.69704777,0.9326087832,0.369813174,0.1408040375,0.8324153423,0.2625727355,0.2318949252,0.382497251,0.719024837,-0.0044853911,0.7348498106,0.0769534782,1.1069104671,0.1118466556,0.3468228281,1.0363459587,0.9355270863,0.4157571197,1.1048851013,0.057908278,1.1701716185,1.0095863342,0.9040117264,0.8473696709,0.8029520512,0.8370653391,-0.0971561223,0.852945447,0.0361243859,0.9245977998,0.9920242429,1.0107731819,0.0637404025,0.7648610473,0.1217676178,0.3031320274,0.8447685242,0.2656230927,0.7137420774,0.1296612024,0.7412045598,0.5119475126,-0.0231232494,-0.1375619024,0.7805123925,0.9319113493,0.7838454843,0.9448691607,0.0553198531,0.7862896323,0.0842622519,0.7568625808,William Miller,Teacher,37,Australian
0.4215733409,0.852048099,0.3316518366,-0.0406602547,0.1585010439,0.8497858644,0.9473441243,0.4022259414,-0.0445662327,1.110809207,0.9513303638,1.2232800722,0.6929540634,0.0925913602,1.1498966217,0.4893993735,0.0105409324,1.0350286961,0.2293716222,0.3020947576,0.1444863826,0.0222729221,0.5531725287,-0.1468502134,-0.0731142163,0.1493723392,0.0387027077,0.0465105027,-0.0008986387,-0.0228438228,0.021262832,0.9344742298,0.2266361415,0.7003197074,0.4492473602,0.6527619958,0.0614346564,0.7858970761,0.8840732574,0.1472536027,0.1259819269,0.0046047196,0.8474711776,0.2783572376,-0.0256346911,0.8721873164,1.1648023129,0.3028047979,0.8924781084,1.1207270622,0.0665296763,0.0703404397,0.9141808748,0.8136137724,0.7345526218,0.8819481134,0.8336418271,0.921541214,0.159345299,0.1847408116,0.7485226989,0.9507956505,0.977242589,-0.3341835737,Matthew Jones,Software Engineer,60,American
0.0240119155,0.4887444377,0.7770746946,0.8443108201,1.085880518,0.7575958371,0.8481554389,0.5183500051,-0.0796128958,0.9445443749,-0.0475664362,0.8205947876,0.6193580627,0.1038551182,0.0251084752,-0.0271040741,0.2071053982,1.0303406715,1.2361018658,0.67886132,0.7827592492,0.9224247336,0.0847421438,0.6580817103,0.8521241546,0.0043670759,-0.0425219126,0.9092764854,0.2848737836,0.5058684349,0.0494921878,0.3753107786,0.4420492947,1.0334465504,0.0400956646,0.793931365,0.9139180183,1.0202428102,0.0580595322,0.1296005994,1.0753762722,0.1228989139,0.6050954461,0.8486716151,0.9439518452,0.0977897644,0.1421445012,0.4005151987,0.8001874685,1.1359134912,0.7758517861,0.2501415014,1.1750209332,0.0582412258,0.2128248215,0.6846398115,0.2867234647,0.0067312792,0.2500163913,0.4162486494,0.8110753894,0.0339347348,0.1208293959,0.915033102,Michael Johnson,Software Engineer,43,Indian
0.6691812873,0.2484771609,0.0351645872,0.8593028784,0.0503544658,0.8344660401,0.17501764,0.7167617083,0.3243740201,0.1243650243,0.1692011952,0.4445007145,0.0459726006,0.8953543305,0.0027783699,0.3830436468,0.0719950497,0.1037971824,0.9179618955,0.0018544942,0.8528839946,0.9130976796,0.6145644784,0.8181265593,0.3719024062,0.3460797668,0.9481061101,0.1145797372,0.9008666277,0.0253376514,0.931378901,0.6943734884,0.0127543099,-0.2401998937,0.571442306,0.1738866866,0.8313183784,1.0583487749,1.0546604395,0.0962434262,1.0483478308,0.6115684509,0.6041206717,0.172277689,1.0040436983,-0.055196438,0.8034353852,0.8030648232,0.1732984185,0.9163359404,1.0248420238,0.0336928368,0.05206009,0.3249306083,0.8718553782,0.1892421097,-0.0921032876,-0.0088789836,0.9103272557,0.0193224624,0.9839162827,0.0049052183,0.1278766692,0.8993124366,Robert Garcia,Chef,39,Canadian
0.9148337245,0.2561254203,0.1076871529,0.8518160582,-0.0381975919,0.4349524975,0.2476385534,0.007206222,0.1074756831,0.6532227993,0.9309427142,0.683657527,0.3998737931,1.0186085701,0.0591101684,0.942629993,-0.0388860554,0.4358401895,0.1436614096,0.0676969439,0.790391624,1.1112788916,-0.0549904034,0.9742868543,0.1727836281,0.7792448997,1.1104179621,-0.0787045807,0.9627320766,0.0169730932,0.0805786476,0.540635705,0.200948149,0.601623714,0.0203904659,0.1169670746,0.0974314511,0.3996597528,0.0680284947,0.0900137872,1.001642108,0.1609884799,0.1809424907,0.016838342,0.244470939,0.817971766,0.7452358603,0.7806277871,-0.0143322274,0.261946559,-0.0795283765,0.8575216532,-0.2092669308,0.7380886674,0.9882070422,0.1862666011,0.1615335345,0.1542805433,0.9139067531,-0.0745195895,0.8283100128,0.213501513,-0.0201926306,1.0627810955,Robert Jones,Architect,52,Italian
0.0524640158,0.3286011815,0.0858028457,0.1431976855,0.0978267938,0.0279653035,0.8432896137,0.2923269272,0.4406704605,0.9770332575,-0.0846258327,0.2441918254,-0.1554058343,1.1458539963,0.9743874669,1.0067844391,1.0501246452,0.4376306534,0.957621038,-0.0256960243,0.0229506344,0.8699563146,0.9354323149,1.0552743673,-0.0138363093,0.7033036947,0.7103800774,0.7767682672,0.6749098301,-0.0913804322,0.3252224028,1.159689784,0.2650614977,0.1669185758,0.0242588371,-0.004449226,0.0572389662,0.6633462906,1.0296105146,0.5871226788,1.0186741352,0.2641392648,0.1279341727,0.1620486975,0.9428734183,0.0268906616,0.1389923692,1.0172408819,0.0057515204,0.3745454848,0.863606751,0.5097903609,0.9521292448,-0.0498489141,0.1989886761,-0.0108943097,0.2565068901,-0.0616862103,0.9381322265,0.7775268555,1.0330293179,-0.0471198484,0.201001972,0.6220678687,Daniel Davis,Software Engineer,45,Indian
0.9899824262,0.1574838758,0.1323557496,0.9115046263,0.9368866086,0.6368966699,1.0340141058,0.2662860453,0.7625517845,0.8009879589,0.464723736,0.3304834664,0.7523072362,0.7886720896,0.8242647648,0.9348313212,0.0291766226,-0.0497250706,0.0137573294,0.9863757491,0.9094654322,0.8716741204,0.932180047,0.3783109784,0.6944688559,-0.0821742862,0.2337226123,0.3485425711,0.1316793859,0.078578189,0.0202031061,0.9743369818,1.1168261766,0.7291540504,0.0278124064,0.7220451236,0.7558957338,1.0413120985,0.9313831329,0.9656431675,0.4886786044,0.8754823804,1.0218247175,1.0624009371,0.9517006278,0.068488121,-0.000847958,0.1137382537,0.2665506601,1.0484261513,0.0836803019,0.2123545259,0.6799089909,0.0550264195,1.0970208645,0.843121767,-0.0443536267,0.1811763644,0.0290271714,0.3488596678,0.0626389161,1.0037317276,0.9054051638,0.0032362174,Robert Martinez,Teacher,48,American
0.4124884307,0.7150695324,0.9753943086,0.7892644405,0.0351057798,-0.1036746502,0.3416416645,-0.0252021942,1.0196365118,0.4287550151,0.0877661183,0.1103091985,1.1246472597,1.0645834208,0.8044573069,0.8218374252,1.0042959452,0.0588141084,0.0594124757,0.8626071811,-0.0488489084,-0.0113568753,1.080645442,0.8471297622,0.938795805,0.9895452261,0.7311526537,0.0266887993,0.6183487177,0.7451733947,0.809214592,0.2117725909,1.0755784512,0.7296376824,0.135986805,0.1835174263,0.8022187948,-0.0992764756,0.0710712224,0.052347824,0.7780892253,0.0390140787,0.756262958,-0.0658632815,0.867164731,1.0698578358,0.9858902097,-0.0319283195,0.0567948371,0.6276299953,-0.014512185,1.0425086021,0.9158369899,0.8532703519,0.0640201569,0.6279142499,0.2086423934,0.7364628315,0.0005134344,1.0872793198,0.1253096163,0.9834758043,0.199670583,0.9071406126,Michael Miller,Doctor,53,Chinese
